role,estimator,spec,treatment,sample,outcome,units,att,se,note,source,on_primary
diagnostic,CDH,drop 2021 (COVID trough),combined >=50%,"waves: 2016,2018,2022,2023,2025",language,SD (anchored 2016 scale),0.0057,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,drop 2021 (COVID trough),combined >=50%,"waves: 2016,2018,2022,2023,2025",mathematics,SD (anchored 2016 scale),0.0336,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,drop 2021+2022 (COVID period),combined >=50%,"waves: 2016,2018,2023,2025",language,SD (anchored 2016 scale),-0.0058,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,drop 2021+2022 (COVID period),combined >=50%,"waves: 2016,2018,2023,2025",mathematics,SD (anchored 2016 scale),-0.0279,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,drop 2022 (sample wave),combined >=50%,"waves: 2016,2018,2021,2023,2025",language,SD (anchored 2016 scale),-0.021,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,drop 2022 (sample wave),combined >=50%,"waves: 2016,2018,2021,2023,2025",mathematics,SD (anchored 2016 scale),-0.0633,,changes the estimand: dropping waves re-dates cohorts and re-spaces event time,06c_covid_robustness.csv,TRUE
diagnostic,CDH,dropping Buenos Aires,combined >=50%,estimation sample less Buenos Aires,language,SD (anchored 2016 scale),0.0135,0.0125,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Buenos Aires,combined >=50%,estimation sample less Buenos Aires,mathematics,SD (anchored 2016 scale),0.0327,0.0152,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Córdoba,combined >=50%,estimation sample less Córdoba,language,SD (anchored 2016 scale),0.0089,0.0126,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Córdoba,combined >=50%,estimation sample less Córdoba,mathematics,SD (anchored 2016 scale),0.0249,0.0154,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Catamarca,combined >=50%,estimation sample less Catamarca,language,SD (anchored 2016 scale),0.0151,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Catamarca,combined >=50%,estimation sample less Catamarca,mathematics,SD (anchored 2016 scale),0.0276,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Chaco,combined >=50%,estimation sample less Chaco,language,SD (anchored 2016 scale),0.0162,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Chaco,combined >=50%,estimation sample less Chaco,mathematics,SD (anchored 2016 scale),0.0272,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Chubut,combined >=50%,estimation sample less Chubut,language,SD (anchored 2016 scale),0.0161,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Chubut,combined >=50%,estimation sample less Chubut,mathematics,SD (anchored 2016 scale),0.0285,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Ciudad de Buenos Aires,combined >=50%,estimation sample less Ciudad de Buenos Aires,language,SD (anchored 2016 scale),0.0153,0.0118,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Ciudad de Buenos Aires,combined >=50%,estimation sample less Ciudad de Buenos Aires,mathematics,SD (anchored 2016 scale),0.0325,0.0145,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Corrientes,combined >=50%,estimation sample less Corrientes,language,SD (anchored 2016 scale),0.0135,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Corrientes,combined >=50%,estimation sample less Corrientes,mathematics,SD (anchored 2016 scale),0.0264,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Entre Ríos,combined >=50%,estimation sample less Entre Ríos,language,SD (anchored 2016 scale),0.0145,0.0116,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Entre Ríos,combined >=50%,estimation sample less Entre Ríos,mathematics,SD (anchored 2016 scale),0.0231,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Formosa,combined >=50%,estimation sample less Formosa,language,SD (anchored 2016 scale),0.0152,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Formosa,combined >=50%,estimation sample less Formosa,mathematics,SD (anchored 2016 scale),0.0267,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Jujuy,combined >=50%,estimation sample less Jujuy,language,SD (anchored 2016 scale),0.0122,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Jujuy,combined >=50%,estimation sample less Jujuy,mathematics,SD (anchored 2016 scale),0.0232,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping La Pampa,combined >=50%,estimation sample less La Pampa,language,SD (anchored 2016 scale),0.0155,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping La Pampa,combined >=50%,estimation sample less La Pampa,mathematics,SD (anchored 2016 scale),0.0278,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping La Rioja,combined >=50%,estimation sample less La Rioja,language,SD (anchored 2016 scale),0.0164,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping La Rioja,combined >=50%,estimation sample less La Rioja,mathematics,SD (anchored 2016 scale),0.0264,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Mendoza,combined >=50%,estimation sample less Mendoza,language,SD (anchored 2016 scale),0.0159,0.0116,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Mendoza,combined >=50%,estimation sample less Mendoza,mathematics,SD (anchored 2016 scale),0.0405,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Misiones,combined >=50%,estimation sample less Misiones,language,SD (anchored 2016 scale),0.0153,0.0114,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Misiones,combined >=50%,estimation sample less Misiones,mathematics,SD (anchored 2016 scale),0.0271,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Neuquén,combined >=50%,estimation sample less Neuquén,language,SD (anchored 2016 scale),0.0159,0.0114,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Neuquén,combined >=50%,estimation sample less Neuquén,mathematics,SD (anchored 2016 scale),0.0278,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Río Negro,combined >=50%,estimation sample less Río Negro,language,SD (anchored 2016 scale),0.0142,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Río Negro,combined >=50%,estimation sample less Río Negro,mathematics,SD (anchored 2016 scale),0.0252,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Salta,combined >=50%,estimation sample less Salta,language,SD (anchored 2016 scale),0.0179,0.0114,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Salta,combined >=50%,estimation sample less Salta,mathematics,SD (anchored 2016 scale),0.0288,0.0139,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping San Juan,combined >=50%,estimation sample less San Juan,language,SD (anchored 2016 scale),0.0124,0.0118,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping San Juan,combined >=50%,estimation sample less San Juan,mathematics,SD (anchored 2016 scale),0.0293,0.0144,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping San Luis,combined >=50%,estimation sample less San Luis,language,SD (anchored 2016 scale),0.0145,0.0114,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping San Luis,combined >=50%,estimation sample less San Luis,mathematics,SD (anchored 2016 scale),0.027,0.0139,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santa Cruz,combined >=50%,estimation sample less Santa Cruz,language,SD (anchored 2016 scale),0.0152,0.0118,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santa Cruz,combined >=50%,estimation sample less Santa Cruz,mathematics,SD (anchored 2016 scale),0.0279,0.0143,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santa Fe,combined >=50%,estimation sample less Santa Fe,language,SD (anchored 2016 scale),0.0181,0.0129,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santa Fe,combined >=50%,estimation sample less Santa Fe,mathematics,SD (anchored 2016 scale),0.027,0.0155,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santiago del Estero,combined >=50%,estimation sample less Santiago del Estero,language,SD (anchored 2016 scale),0.0128,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Santiago del Estero,combined >=50%,estimation sample less Santiago del Estero,mathematics,SD (anchored 2016 scale),0.0261,0.014,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Tierra del Fuego,combined >=50%,estimation sample less Tierra del Fuego,language,SD (anchored 2016 scale),0.0134,0.0115,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Tierra del Fuego,combined >=50%,estimation sample less Tierra del Fuego,mathematics,SD (anchored 2016 scale),0.0277,0.0141,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
diagnostic,CDH,dropping Tucumán,combined >=50%,estimation sample less Tucumán,language,SD (anchored 2016 scale),0.0138,0.0116,"leverage check on point estimates, not an inference procedure",06k_leave_one_province.csv,TRUE
